metric,alpha_c,alpha_eE,theta_e,alpha_eC,alpha_eplus_C,alpha_eJ,delta_c,delta_e,delta_m_tau,delta_c_tau,delta_e_tau,eta_M_V
alpha_c,39,39,39,39,39,39,39,39,12,39,39,15
alpha_eE,39,39,39,39,39,39,39,39,12,39,39,15
theta_e,39,39,39,39,39,39,39,39,12,39,39,15
alpha_eC,39,39,39,39,39,39,39,39,12,39,39,15
alpha_eplus_C,39,39,39,39,39,39,39,39,12,39,39,15
alpha_eJ,39,39,39,39,39,39,39,39,12,39,39,15
delta_c,39,39,39,39,39,39,39,39,12,39,39,15
delta_e,39,39,39,39,39,39,39,39,12,39,39,15
delta_m_tau,12,12,12,12,12,12,12,12,12,12,12,12
delta_c_tau,39,39,39,39,39,39,39,39,12,39,39,15
delta_e_tau,39,39,39,39,39,39,39,39,12,39,39,15
eta_M_V,15,15,15,15,15,15,15,15,12,15,15,15
