,$\overline{\alpha^c}$,$\overline{\alpha^e_E}$,$\overline{\theta^e}$,$\overline{\alpha^e_C}$,$\overline{\alpha^{e+}_C}$,$\overline{\alpha^e_J}$,$\overline{\delta^c}$,$\overline{\delta^e}$,$\overline{\delta^m_\tau}$,$\overline{\delta^c_\tau}$,$\overline{\delta^e_\tau}$,$\overline{\eta^{\mathcal{M}}_{\mathcal{V}}}$
$\overline{\alpha^c}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\alpha^e_E}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\theta^e}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\alpha^e_C}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\alpha^{e+}_C}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\alpha^e_J}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\delta^c}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\delta^e}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\delta^m_\tau}$,12,12,12,12,12,12,12,12,12,12,12,12
$\overline{\delta^c_\tau}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\delta^e_\tau}$,39,39,39,39,39,39,39,39,12,39,39,15
$\overline{\eta^{\mathcal{M}}_{\mathcal{V}}}$,15,15,15,15,15,15,15,15,12,15,15,15
