method,benchmark,metric,value
Qwen3VL,Egoschema,alpha_c,68.4
Qwen3VL,Egoschema,alpha_eE,59.2
Qwen3VL,Egoschema,theta_e,0.608
Qwen3VL,EgoLifeQA,alpha_c,36.4
Qwen3VL,EgoLifeQA,alpha_eE,23.8
Qwen3VL,EgoLifeQA,theta_e,0.312
Qwen3VL,EgoR1Bench,alpha_c,33.7
Qwen3VL,EgoR1Bench,alpha_eE,23.3
Qwen3VL,EgoR1Bench,theta_e,0.325
Qwen2.5VL,Egoschema,alpha_c,72.8
Qwen2.5VL,Egoschema,alpha_eE,59.8
Qwen2.5VL,Egoschema,theta_e,0.608
Qwen2.5VL,EgoLifeQA,alpha_c,29.6
Qwen2.5VL,EgoLifeQA,alpha_eE,24.8
Qwen2.5VL,EgoLifeQA,theta_e,0.275
Qwen2.5VL,EgoR1Bench,alpha_c,34.7
Qwen2.5VL,EgoR1Bench,alpha_eE,24.0
Qwen2.5VL,EgoR1Bench,theta_e,0.287
LLaVA-Video,Egoschema,alpha_c,74.0
LLaVA-Video,Egoschema,alpha_eE,55.0
LLaVA-Video,Egoschema,theta_e,0.689
LLaVA-Video,EgoLifeQA,alpha_c,35.4
LLaVA-Video,EgoLifeQA,alpha_eE,21.2
LLaVA-Video,EgoLifeQA,theta_e,0.599
LLaVA-Video,EgoR1Bench,alpha_c,41.0
LLaVA-Video,EgoR1Bench,alpha_eE,19.7
LLaVA-Video,EgoR1Bench,theta_e,0.578
LLaVA-OV,Egoschema,alpha_c,66.0
LLaVA-OV,Egoschema,alpha_eE,49.2
LLaVA-OV,Egoschema,theta_e,0.673
LLaVA-OV,EgoLifeQA,alpha_c,38.0
LLaVA-OV,EgoLifeQA,alpha_eE,25.2
LLaVA-OV,EgoLifeQA,theta_e,0.606
LLaVA-OV,EgoR1Bench,alpha_c,41.7
LLaVA-OV,EgoR1Bench,alpha_eE,26.0
LLaVA-OV,EgoR1Bench,theta_e,0.578
InternVL3.5,Egoschema,alpha_c,80.2
InternVL3.5,Egoschema,alpha_eE,59.8
InternVL3.5,Egoschema,theta_e,0.719
InternVL3.5,EgoLifeQA,alpha_c,35.8
InternVL3.5,EgoLifeQA,alpha_eE,24.0
InternVL3.5,EgoLifeQA,theta_e,0.464
InternVL3.5,EgoR1Bench,alpha_c,35.7
InternVL3.5,EgoR1Bench,alpha_eE,24.0
InternVL3.5,EgoR1Bench,theta_e,0.503
InternVideo2.5,Egoschema,alpha_c,74.4
InternVideo2.5,Egoschema,alpha_eE,53.0
InternVideo2.5,Egoschema,theta_e,0.64
InternVideo2.5,EgoLifeQA,alpha_c,28.0
InternVideo2.5,EgoLifeQA,alpha_eE,23.8
InternVideo2.5,EgoLifeQA,theta_e,0.478
InternVideo2.5,EgoR1Bench,alpha_c,30.0
InternVideo2.5,EgoR1Bench,alpha_eE,22.0
InternVideo2.5,EgoR1Bench,theta_e,0.502
EgoGPT,Egoschema,alpha_c,57.6
EgoGPT,Egoschema,alpha_eE,48.6
EgoGPT,Egoschema,theta_e,0.66
EgoGPT,EgoLifeQA,alpha_c,35.0
EgoGPT,EgoLifeQA,alpha_eE,26.0
EgoGPT,EgoLifeQA,theta_e,0.594
EgoGPT,EgoR1Bench,alpha_c,30.0
EgoGPT,EgoR1Bench,alpha_eE,22.0
EgoGPT,EgoR1Bench,theta_e,0.57
LongVA,Egoschema,alpha_c,49.2
LongVA,Egoschema,alpha_eE,43.0
LongVA,Egoschema,theta_e,0.597
LongVA,EgoLifeQA,alpha_c,34.2
LongVA,EgoLifeQA,alpha_eE,24.2
LongVA,EgoLifeQA,theta_e,0.338
LongVA,EgoR1Bench,alpha_c,30.7
LongVA,EgoR1Bench,alpha_eE,24.0
LongVA,EgoR1Bench,theta_e,0.37
EgoButler,Egoschema,alpha_c,38.5
EgoButler,Egoschema,alpha_eE,46.2
EgoButler,Egoschema,theta_e,0.525
EgoButler,EgoLifeQA,alpha_c,27.7
