metric,alpha_c,alpha_eE,theta_e,alpha_eC,alpha_eplus_C,alpha_eJ,delta_c,delta_e,delta_m_tau,delta_c_tau,delta_e_tau,eta_M_V
alpha_c,1.000000,0.905507,0.737884,0.893921,0.909449,0.844076,-0.304755,-0.255282,-0.083434,-0.445599,-0.445987,-0.117463
alpha_eE,0.905507,1.000000,0.665024,0.937679,0.879623,0.819261,-0.224120,-0.184844,-0.100918,-0.392533,-0.393556,-0.374448
theta_e,0.737884,0.665024,1.000000,0.683875,0.780166,0.591521,-0.356396,-0.360656,-0.019987,-0.488762,-0.523821,-0.175517
alpha_eC,0.893921,0.937679,0.683875,1.000000,0.944998,0.806764,-0.253539,-0.195256,-0.114782,-0.437400,-0.435912,-0.134326
alpha_eplus_C,0.909449,0.879623,0.780166,0.944998,1.000000,0.832444,-0.265640,-0.204738,-0.144286,-0.430010,-0.430048,0.106020
alpha_eJ,0.844076,0.819261,0.591521,0.806764,0.832444,1.000000,-0.248697,-0.190800,0.088555,-0.392765,-0.390090,-0.240146
delta_c,-0.304755,-0.224120,-0.356396,-0.253539,-0.265640,-0.248697,1.000000,0.972178,0.462389,0.886257,0.862830,0.212794
delta_e,-0.255282,-0.184844,-0.360656,-0.195256,-0.204738,-0.190800,0.972178,1.000000,0.258756,0.911373,0.905998,0.359912
delta_m_tau,-0.083434,-0.100918,-0.019987,-0.114782,-0.144286,0.088555,0.462389,0.258756,1.000000,0.153520,0.054666,-0.312701
delta_c_tau,-0.445599,-0.392533,-0.488762,-0.437400,-0.430010,-0.392765,0.886257,0.911373,0.153520,1.000000,0.993063,0.333334
delta_e_tau,-0.445987,-0.393556,-0.523821,-0.435912,-0.430048,-0.390090,0.862830,0.905998,0.054666,0.993063,1.000000,0.392796
eta_M_V,-0.117463,-0.374448,-0.175517,-0.134326,0.106020,-0.240146,0.212794,0.359912,-0.312701,0.333334,0.392796,1.000000
